,occ,dim_0,dim_1,emp_2018,wage,sqrt_emp
519,Producers and directors,8.426329,16.406298,159.5,74420.0,12.62933094031509
520,"Production workers, all other",-10.400862,-15.507463,238.6,29800.0,15.446682491719702
521,"Production, planning, and expediting clerks",0.5512154,-3.2522018,378.5,48260.0,19.45507645834372
523,"Property, real estate, and community association managers",18.896269,7.1318326,367.9,58760.0,19.180719485983836
525,Psychiatric technicians,11.839169,-1.1224109,82.8,33780.0,9.09945053286186
527,"Psychology teachers, postsecondary",20.597668,16.124224,46.8,76620.0,6.841052550594828
528,Public relations specialists,30.072866,18.224127,274.6,61150.0,16.57105910918189
529,Public safety telecommunicators,6.071814,9.372204,98.3,41910.0,9.91463564635635
531,Purchasing managers,28.70929,20.12038,76.9,121110.0,8.769264507357502
534,Radiologic technologists and technicians,7.833729,-3.7271056,212.0,60510.0,14.560219778561036
538,Railroad conductors and yardmasters,-20.45547,-10.278461,36.0,65990.0,6.0
539,Real estate brokers,1.9414529,14.744375,100.7,59720.0,10.03493896344168
540,Real estate sales agents,17.89122,8.7013235,376.5,48930.0,19.403607911932255
541,Receptionists and information clerks,-7.2798543,10.708393,1105.3,30050.0,33.24605239723959
543,Recreation workers,16.392792,4.1800456,417.1,26350.0,20.423026220420912
547,Refuse and recyclable material collectors,-23.422754,-6.0550885,133.6,37840.0,11.55854662143991
548,Registered nurses,16.940472,-0.13637044,3096.7,73300.0,55.648000862564686
549,Rehabilitation counselors,6.940442,12.875874,120.2,35950.0,10.963576058932597
551,Reservation and transportation ticket agents and travel clerks,3.8911655,-0.30356514,126.3,38380.0,11.23832727766904
552,Residential advisors,12.856092,7.1067843,115.2,29450.0,10.73312629199899
553,Respiratory therapists,8.653565,-5.497729,135.8,61330.0,11.653325705565772
554,Retail salespersons,-16.76203,6.170621,4371.4,25250.0,66.11656373405987
558,Roofers,-4.146165,-22.347843,161.6,42100.0,12.712198865656562
560,"Roustabouts, oil and gas",-17.508398,-19.09001,58.5,38910.0,7.648529270389178
562,Sales engineers,27.72972,16.38781,64.5,103900.0,8.031189202104505
563,Sales managers,30.009304,19.789156,433.8,126640.0,20.827865949251738
564,"Sales representatives, wholesale and manufacturing, except technical and scientific products",3.53776,16.256716,1399.7,59930.0,37.412564734324214
565,"Sales representatives, wholesale and manufacturing, technical and scientific products",2.766189,15.948439,321.0,81020.0,17.916472867168917
566,"Sawing machine setters, operators, and tenders, wood",-28.151989,-7.371916,54.5,30410.0,7.3824115301167
567,"Secondary school teachers, except special and career/technical education",11.740448,12.06191,1050.8,61660.0,32.41604540964243
568,"Secretaries and administrative assistants, except legal, medical, and executive",-8.790361,11.94599,2250.2,37690.0,47.43627304078599
569,"Securities, commodities, and financial services sales agents",0.0741236,15.87667,464.2,62270.0,21.54530111184339
570,Security and fire alarm systems installers,-7.17718,-10.44794,76.3,48970.0,8.734987120768983
571,Security guards,7.5961437,3.789713,1154.1,29680.0,33.97204733306487
572,Self-enrichment teachers,9.211472,12.818056,386.2,39190.0,19.651971911235776
574,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",-21.82565,-12.127565,53.1,41330.0,7.286974680894672
576,"Service unit operators, oil and gas",13.250318,-15.979439,51.7,46740.0,7.19027120489902
579,Sewing machine operators,-27.916817,-4.511726,146.5,26420.0,12.103718436910205
581,Sheet metal workers,-9.563925,-18.662355,137.7,50400.0,11.734564329364767
583,"Shipping, receiving, and inventory clerks",-12.045821,-11.291135,710.4,34190.0,26.65332999833229
587,Skincare specialists,-15.610948,6.115385,78.6,34090.0,8.8656641037206
588,Slaughterers and meat packers,-28.826708,-2.8958418,75.0,29230.0,8.660254037844387
